employee_id,name,age,gender,job_title,department,experience_years,current_salary_dzd,job_posting_id
EMP0000-1,Nour Benaissa,43,Male,Cybersecurity Specialist (Red Team),"Informatique, Télécom, Internet",2,54314,JOB0000
EMP0000-2,Amina Fekih,40,Male,Cybersecurity Specialist (Red Team),"Informatique, Télécom, Internet",4,68059,JOB0000
EMP0000-3,Ahmed Chikhi,36,Female,Cybersecurity Specialist (Red Team),"Informatique, Télécom, Internet",4,51173,JOB0000
EMP0000-4,Mohamed Benaissa,60,Female,Cybersecurity Specialist (Red Team),"Informatique, Télécom, Internet",5,68137,JOB0000
EMP0001-1,Rachid Khelifi,58,Other,Responsable Sécurité Système d’Information,Industries,10,78502,JOB0001
EMP0001-2,Nadia Zitouni,46,Female,Responsable Sécurité Système d’Information,Industries,4,68480,JOB0001
EMP0001-3,Omar Amrani,46,Female,Responsable Sécurité Système d’Information,Industries,10,87458,JOB0001
EMP0002-1,Zineb Zitouni,52,Other,Assistant(e) de direction achat,Industries,6,78148,JOB0002
EMP0002-2,Zineb Zitouni,23,Female,Assistant(e) de direction achat,Industries,7,76126,JOB0002
EMP0002-3,Nour Zitouni,50,Female,Assistant(e) de direction achat,Industries,5,62320,JOB0002
EMP0003-1,Zineb Derbal,43,Male,Analyste SAP MM,Industries,7,77963,JOB0003
EMP0003-2,Yasmine Derbal,23,Other,Analyste SAP MM,Industries,6,53396,JOB0003
EMP0003-3,Fatima Benaissa,39,Female,Analyste SAP MM,Industries,7,56088,JOB0003
EMP0004-1,Leila Derbal,60,Other,Commercial,Services,0,58305,JOB0004
EMP0005-1,Nadia Amrani,46,Other,SENIOR GEOPHYSICIST ,Services,6,82084,JOB0005
EMP0005-2,Fatima Zitouni,58,Other,SENIOR GEOPHYSICIST ,Services,6,77659,JOB0005
EMP0005-3,Fatima Derbal,47,Other,SENIOR GEOPHYSICIST ,Services,7,94827,JOB0005
EMP0006-1,Sofiane Derbal,59,Other,Business Analyst,Industries,7,71587,JOB0006
EMP0007-1,Mohamed Benaissa,44,Other,Community Manager,"Distribution, Commerce",2,63162,JOB0007
EMP0007-2,Samir Saadi,51,Female,Community Manager,"Distribution, Commerce",3,53699,JOB0007
EMP0007-3,Youssef Amrani,41,Male,Community Manager,"Distribution, Commerce",4,49402,JOB0007
EMP0007-4,Sofiane Amrani,24,Other,Community Manager,"Distribution, Commerce",0,69714,JOB0007
EMP0007-5,Leila Saadi,47,Female,Community Manager,"Distribution, Commerce",3,62894,JOB0007
EMP0008-1,Youssef Amrani,27,Female,Chargé(e) de Support IT,Industries,3,59296,JOB0008
EMP0008-2,Ahmed Zitouni,53,Other,Chargé(e) de Support IT,Industries,2,62789,JOB0008
EMP0008-3,Ahmed Zitouni,26,Female,Chargé(e) de Support IT,Industries,4,77357,JOB0008
EMP0008-4,Youssef Bouzid,43,Female,Chargé(e) de Support IT,Industries,3,61989,JOB0008
EMP0008-5,Karim Fekih,39,Other,Chargé(e) de Support IT,Industries,5,74490,JOB0008
EMP0009-1,Sara Bouzid,48,Male,Expert environnemental et social,"Banque, Assurance, Finance",5,59553,JOB0009
EMP0009-2,Nadia Fekih,50,Other,Expert environnemental et social,"Banque, Assurance, Finance",4,66259,JOB0009
EMP0009-3,Nour Saadi,22,Other,Expert environnemental et social,"Banque, Assurance, Finance",5,70692,JOB0009
EMP0009-4,Sabrina Guedira,25,Other,Expert environnemental et social,"Banque, Assurance, Finance",5,75122,JOB0009
EMP0009-5,Amina Guedira,39,Female,Expert environnemental et social,"Banque, Assurance, Finance",5,72360,JOB0009
EMP0010-1,Nour Khelifi,55,Female,Cadre Financière,Industries,4,67779,JOB0010
EMP0010-2,Laila Benaissa,48,Female,Cadre Financière,Industries,7,77443,JOB0010
EMP0011-1,Sara Amrani,36,Male,Commercial(e),Services,6,51893,JOB0011
