job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req,description,edu_value
General Director,Grégoire Reynaud S.A.S. SARL,General Management,Junior,2025-03-26,2025-05-23,2025-06-22,Fisheries,Béchar,Licence,15,CDD,4,"Épargne entreprise, Assurance maladie, Tickets restaurant",233000,"Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office, Report Writing",4,3,Partager oublier commun rouge genou apparence ensuite. Coup calmer présenter diriger début. Ensemble monsieur obtenir accepter empêcher lui. Soirée village cause paysan occuper rouler.,15
Logistics Coordinator,Hervé SARL,Operations,Mid,2025-04-13,2025-04-25,2025-05-25,Fisheries,Tébessa,Doctorat,20,Freelance,6,"Voiture de fonction, Assurance maladie, Crèche d'entreprise",138000,"Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual, Project Management",3,5,ليرتفع على يطول الثانية. المحيط عرض البولندي وسمّيت. حقول وفنلندا بإعمار ثم دخول كردة. الدولارات جورج بلمّ والمعدات حول وترك.,20
Operations Manager,بنو ليث and Sons SARL,Operations,Junior,2025-04-07,2025-05-19,2025-06-18,Retail,Illizi,Licence,15,Freelance,8,"Formation continue, Prime de performance, Assurance maladie",83000,"Report Writing, Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office",0,9,Mettre personne demeurer protéger apercevoir foule chercher clair. Cerveau sûr trésor. Donner dessus ville tuer mot terminer. Aspect monsieur appeler cri toi objet. Casser découvrir cours disparaître projet gauche. Verser courage loi raconter.,15
Supply Chain Manager,Hebert et Fils EURL,Operations,Junior,2025-04-21,2025-05-28,2025-06-27,Public Sector,Constantine,Licence,15,Alternance,8,"Crèche d'entreprise, Tickets restaurant, Formation continue",206000,"Team Leadership, Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management",0,5,Ne vers île étendue aventure avant nuit. Au profond l'une l'une avec question oreille quartier. Classe se demi tellement ensuite prier. Voir ensemble plusieurs confier bande art. Comprendre traîner président grain gagner verre. Couleur mieux prévoir famille éloigner pensée prêt grâce.,15
Team Leader,Manadjim El Djazaïr,General Management,Lead,2025-03-31,2025-05-19,2025-06-18,E-Commerce,Annaba,Master,17,Alternance,10,"Voiture de fonction, Télétravail partiel, Tickets restaurant",57000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management",5,15,Pourtant pur mesure noire grâce sourire. Noir volonté toucher trois partager un vérité public. Fermer ennemi moyen barbe terre. Rentrer honneur rond coeur consulter. Rayon humide cesser même nouveau.,17
Facilities Manager,Jean SPA,Operations,Senior,2025-03-27,2025-05-02,2025-06-01,Transport & Logistics,Laghouat,Licence,15,Stage,6,"Épargne entreprise, Prime de performance, Tickets restaurant",136000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management, Team Leadership",3,4,Confier moyen jeune. Raison l'une malheur pourquoi mince étroit traiter besoin. Avec sept discussion humain théâtre. Lune plonger sombre condition français disparaître table. Président joindre obliger porte compte revenir larme. Emporter on madame retour.,15
Team Leader,Jean SPA,General Management,Lead,2025-04-15,2025-06-12,2025-07-12,Mining,Blida,Doctorat,20,Freelance,12,"Assurance maladie, Crèche d'entreprise, Voiture de fonction",205000,"Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management",0,4,Vérité soutenir escalier pourtant enfoncer avancer contraire. Plein trois dame davantage. Jaune appuyer si blanc froid foule. Rare douter besoin respect puissance soudain quelqu'un.,20
Project Manager,Sofiane Pharma,General Management,Mid,2025-03-31,2025-05-19,2025-06-18,E-Commerce,Sétif,Licence,15,Freelance,9,"Crèche d'entreprise, Voiture de fonction, Assurance maladie",163000,"Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing, Team Leadership",1,12,مما وبريطانيا بداية ليركز وتزويده. بتطويق فقامت بالعمل بولندا قامت اليها. كلا الثالث وقدّموا بوابة بكلّ العصبة بهيئة.,15
Project Manager,Chauvin SARL,General Management,Junior,2025-03-26,2025-05-18,2025-06-17,Media & Entertainment,Jijel,Master,17,Alternance,4,"Voiture de fonction, Épargne entreprise, Prime de performance",54000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",2,14,للإتحاد حتى والديون يرتبط سقوط أصقاع. يذكر يذكر ميناء جزيرتي. باستحداث وقبل المتحدة الرئيسية بالجوي فسقط الأوروبية بريطانيا-فرنسا. بعشوائية بإعمار البولندي فمرّ تلك المتساقطة وزارة.,17
Production Supervisor,بنو ليث and Sons SARL,Operations,Chief,2025-04-15,2025-05-06,2025-06-05,Tourism & Hospitality,Tizi Ouzou,Licence,15,Stage,6,"Épargne entreprise, Voiture de fonction, Tickets restaurant",116000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management",3,9,Changement cher pourquoi révéler large frapper. Conduire long foi dent naturel muet lentement naissance. Remettre annoncer bouche. Apercevoir trésor soulever verser table pendre essayer.,15
