first_name,gender,birth_date,age,email,phone,address,city,current_job_title,department,sector,seniority_level,years_experience,highest_education,employment_type,contract_type,technical_skills,language_proficiency,current_salary_dzd,job_seeking_status,availability_date,social_media,education_history,work_history
عبد التّواب,Female,1984-05-28,40,عبد التّواب@hotmail.fr,+213728937449,"86, avenue Laurence Colas
97220 Chartier",Tiaret,Department Director,Vocational Training,Education,Junior,12,Doctorat,Freelance,CDD,"Negotiation, Adaptability, Presentation Skills, Teamwork, Project Management, Strategic Planning, Team Leadership, Problem Solving, Critical Thinking, Conflict Resolution, Arabic/French Bilingual","{'English': 'Basic', 'Arabic': 'Intermediate', 'Spanish': 'Intermediate'}",97000,Open to offers,2025-05-11,{},"[{'degree': 'Doctorat', 'institution': 'University of Tiaret', 'field_of_study': 'ingénieur en fonderie', 'start_year': 2008, 'end_year': 2013, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Vallet High School', 'field_study': 'Technical', 'start_year': 2000, 'end_year': 2003, 'grade': 'Very Good'}]","[{'company': 'Antoine', 'job_title': 'Department Director', 'department': 'Vocational Training', 'sector': 'Education', 'start_date': '2022-10-27', 'end_date': 'Present', 'location': 'Ouargla', 'responsibilities': 'enhance global networks, evolve strategic platforms, mesh revolutionary web services'}]"
عبّود,Female,1989-03-16,36,عبّود@orange.fr,+213322509938,"9, avenue Boucher
91632 Bonnet-la-Forêt",Jijel,Supply Chain Manager,Operations,Construction,Chief,8,Doctorat,Freelance,CDI,"Microsoft Office, Time Management, Communication, Team Leadership, Teamwork, Arabic/French Bilingual, Report Writing, Adaptability, Strategic Planning","{'Arabic': 'Fluent', 'Tamazight': 'Basic', 'French': 'Intermediate'}",147000,Recently employed,,"{'linkedin': 'linkedin.com/in/عبّود-413', 'facebook': 'facebook.com/عبّود.90', 'twitter': 'twitter.com/عبّود55'}","[{'degree': 'Doctorat', 'institution': 'University of Batna', 'field_of_study': 'réceptionniste', 'start_year': 2012, 'end_year': 2017, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Humbert Nicolas SA High School', 'field_study': 'Science', 'start_year': 2004, 'end_year': 2007, 'grade': 'Average'}]","[{'company': 'Hoarau S.A.', 'job_title': 'Supply Chain Manager', 'department': 'Operations', 'sector': 'Construction', 'start_date': '2024-06-16', 'end_date': 'Present', 'location': 'Timimoun', 'responsibilities': 'architect viral e-tailers, architect turn-key functionalities, maximize open-source metrics'}, {'company': 'Evrard Lemaire SARL', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Pharmaceuticals', 'start_date': '2021-02-17', 'end_date': '2023-01-18', 'location': 'Chlef', 'responsibilities': 'evolve intuitive methodologies, iterate end-to-end web-readiness'}, {'company': 'Fournier S.A.', 'job_title': 'Department Director', 'department': 'Export Operations', 'sector': 'Agriculture', 'start_date': '2017-12-11', 'end_date': '2020-06-10', 'location': 'Saïda', 'responsibilities': 'facilitate robust mindshare, empower real-time eyeballs'}, {'company': 'Bazin', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Telecommunications', 'start_date': '2014-06-26', 'end_date': '2016-05-06', 'location': 'Ouargla', 'responsibilities': 'transform innovative communities, incentivize world-class communities'}]"
هاني,Male,1996-07-03,28,هاني@hotmail.fr,+213193787173,"8, avenue Pénélope Garnier
02624 Sainte Rémy",Adrar,Logistics Coordinator,Operations,Retail,Junior,6,Licence,Full-Time,CDI,"Problem Solving, Critical Thinking, Time Management, Teamwork, Report Writing, Adaptability, Microsoft Office, Project Management","{'Tamazight': 'Native', 'German': 'Intermediate', 'Arabic': 'Native'}",59000,Not looking,,"{'linkedin': 'linkedin.com/in/هاني-694', 'facebook': 'facebook.com/هاني.22'}","[{'degree': 'Licence', 'institution': 'University of Tlemcen', 'field_of_study': 'ingénieur en électronique numérique', 'start_year': 2015, 'end_year': 2018, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'Diaz Dumont SA High School', 'field_study': 'Technical', 'start_year': 2012, 'end_year': 2015, 'grade': 'Good'}]","[{'company': 'Masson Dupuis S.A.R.L.', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Retail', 'start_date': '2020-08-14', 'end_date': 'Present', 'location': 'Djanet', 'responsibilities': 'utilize viral networks, unleash compelling systems, iterate clicks-and-mortar interfaces'}, {'company': 'Lemaire', 'job_title': 'Supply Chain Manager', 'department': 'Operations', 'sector': 'Public Sector', 'start_date': '2018-10-11', 'end_date': '2019-04-12', 'location': 'Tizi Ouzou', 'responsibilities': 're-contextualize one-to-one systems, monetize mission-critical e-tailers'}]"
عبد الكريم,Female,1991-10-07,33,عبد الكريم@laposte.net,+213009648844,"chemin de Roux
58129 Saint Roland",Tizi Ouzou,Operations Manager,General Management,Public Sector,Lead,9,Master,Full-Time,Stage,"Critical Thinking, Team Leadership, Negotiation, Presentation Skills, Teamwork, Strategic Planning, Communication, Problem Solving, Time Management","{'German': 'Intermediate', 'Arabic': 'Native', 'Tamazight': 'Intermediate'}",116000,Actively looking,2025-06-13,"{'linkedin': 'linkedin.com/in/عبد الكريم-183', 'facebook': 'facebook.com/عبد الكريم.57'}","[{'degree': 'Master', 'institution': 'University of Algiers', 'field_of_study': 'expert en assurances', 'start_year': 2013, 'end_year': 2015, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Bernard Mace SA High School', 'field_study': 'Science', 'start_year': 2007, 'end_year': 2010, 'grade': 'Average'}]","[{'company': 'Texier', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Public Sector', 'start_date': '2020-10-21', 'end_date': 'Present', 'location': 'Saïda', 'responsibilities': 'visualize leading-edge methodologies, mesh dynamic info-mediaries, reinvent killer users'}, {'company': 'Dos Santos', 'job_title': 'Operations Manager', 'department': 'Investment Management', 'sector': 'Banking & Finance', 'start_date': '2017-09-25', 'end_date': '2019-03-01', 'location': ""M'sila"", 'responsibilities': 'deploy user-centric communities, envisioneer dynamic eyeballs'}, {'company': 'Millet SARL', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Renewable Energy', 'start_date': '2014-11-22', 'end_date': '2016-09-04', 'location': 'Skikda', 'responsibilities': 'unleash revolutionary models, exploit viral users'}]"
شهب,Male,2001-07-19,23,شهب@voila.fr,+213258516846,"31, avenue Denis
59149 Georges-sur-Mer",Batna,Machine Learning Engineer,Data Science & AI,Information Technology,Mid,0,Master,Full-Time,Stage,"Project Management, Report Writing, Time Management, Microsoft Office, Arabic/French Bilingual","{'Spanish': 'Native', 'Arabic': 'Native', 'English': 'Native', 'Tamazight': 'Basic'}",61000,Recently employed,,"{'linkedin': 'linkedin.com/in/شهب-279', 'facebook': 'facebook.com/شهب.91'}","[{'degree': 'Master', 'institution': 'University of Chlef', 'field_of_study': 'conducteur de travaux', 'start_year': 2023, 'end_year': 2025, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Gay SARL High School', 'field_study': 'Literature', 'start_year': 2017, 'end_year': 2020, 'grade': 'Very Good'}]","[{'company': 'Leroux S.A.', 'job_title': 'Machine Learning Engineer', 'department': 'Data Science & AI', 'sector': 'Information Technology', 'start_date': '2024-06-05', 'end_date': 'Present', 'location': 'Constantine', 'responsibilities': 'deliver rich solutions, engineer robust ROI, re-intermediate visionary bandwidth'}]"
ياقوت,Female,1987-04-07,38,ياقوت@tiscali.fr,+213031236771,"33, rue Michel Bodin
47159 Saint Lucie",Laghouat,General Director,General Management,Renewable Energy,Senior,14,Master,Internship,Stage,"Microsoft Office, Problem Solving, Arabic/French Bilingual, Conflict Resolution, Strategic Planning, Negotiation, Report Writing, Time Management, Communication, Teamwork, Team Leadership, Presentation Skills","{'Tamazight': 'Fluent', 'German': 'Intermediate', 'French': 'Fluent', 'Spanish': 'Basic'}",117000,Not looking,,"{'linkedin': 'linkedin.com/in/ياقوت-653', 'facebook': 'facebook.com/ياقوت.27'}","[{'degree': 'Master', 'institution': 'University of Djelfa', 'field_of_study': 'géotechnicien', 'start_year': 2008, 'end_year': 2010, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'Guyot High School', 'field_study': 'Science', 'start_year': 2002, 'end_year': 2005, 'grade': 'Average'}]","[{'company': 'Hubert', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Renewable Energy', 'start_date': '2023-03-07', 'end_date': 'Present', 'location': 'Annaba', 'responsibilities': 'streamline user-centric initiatives, facilitate leading-edge bandwidth, embrace dot-com applications'}, {'company': 'Royer S.A.S.', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Construction', 'start_date': '2021-01-27', 'end_date': '2022-10-01', 'location': ""M'sila"", 'responsibilities': 'engineer e-business infrastructures, transition clicks-and-mortar e-services'}, {'company': 'Bernier Morel et Fils', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Telecommunications', 'start_date': '2018-04-21', 'end_date': '2020-04-09', 'location': 'Blida', 'responsibilities': 'visualize dynamic info-mediaries, evolve real-time paradigms'}, {'company': 'Maurice', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Renewable Energy', 'start_date': '2013-04-06', 'end_date': '2017-07-05', 'location': 'Naama', 'responsibilities': 'empower enterprise action-items, visualize web-enabled content'}, {'company': 'Petit', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Tourism & Hospitality', 'start_date': '2011-08-06', 'end_date': '2012-02-02', 'location': 'Algiers', 'responsibilities': 'expedite ubiquitous bandwidth, empower rich paradigms'}, {'company': 'Faivre S.A.S.', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'E-Commerce', 'start_date': '2008-03-23', 'end_date': '2010-06-25', 'location': 'Tamanrasset', 'responsibilities': 're-intermediate clicks-and-mortar info-mediaries, mesh collaborative e-tailers'}]"
غازي,Male,1988-04-06,37,غازي@laposte.net,+213121579106,"41, avenue Coste
92411 Alves-sur-Mer",Illizi,Facilities Manager,Operations,Telecommunications,Chief,9,Doctorat,Internship,Freelance,"Communication, Strategic Planning, Report Writing, Critical Thinking, Project Management, Teamwork, Team Leadership, Time Management, Negotiation","{'Arabic': 'Native', 'Spanish': 'Native'}",221000,Actively looking,2025-05-26,"{'linkedin': 'linkedin.com/in/غازي-445', 'facebook': 'facebook.com/غازي.36'}","[{'degree': 'Doctorat', 'institution': 'University of Tizi Ouzou', 'field_of_study': 'mouleur-noyauteur', 'start_year': 2011, 'end_year': 2016, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Bourgeois Menard et Fils High School', 'field_study': 'Technical', 'start_year': 2003, 'end_year': 2006, 'grade': 'Average'}]","[{'company': 'Adam', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Telecommunications', 'start_date': '2019-06-12', 'end_date': 'Present', 'location': 'Tindouf', 'responsibilities': 'empower value-added e-business, generate innovative markets, revolutionize end-to-end supply-chains'}]"
أناهيد,Female,1988-10-10,36,أناهيد@hotmail.fr,+213736334748,"705, avenue de Baron
79527 Lebreton",In Salah,General Director,General Management,Manufacturing,Senior,12,Master,Part-Time,Stage,"Presentation Skills, Project Management, Conflict Resolution, Communication, Teamwork, Time Management, Team Leadership, Adaptability, Arabic/French Bilingual, Problem Solving, Negotiation","{'French': 'Fluent', 'English': 'Native', 'Arabic': 'Native', 'Tamazight': 'Basic'}",130000,Actively looking,2025-05-30,"{'linkedin': 'linkedin.com/in/أناهيد-244', 'facebook': 'facebook.com/أناهيد.35', 'twitter': 'twitter.com/أناهيد660'}","[{'degree': 'Master', 'institution': 'University of Chlef', 'field_of_study': 'gestionnaire actif/passif', 'start_year': 2010, 'end_year': 2012, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Pasquier High School', 'field_study': 'Technical', 'start_year': 2004, 'end_year': 2007, 'grade': 'Good'}]","[{'company': 'Bourgeois', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Manufacturing', 'start_date': '2022-07-21', 'end_date': 'Present', 'location': 'Ghardaïa', 'responsibilities': 'strategize innovative platforms, syndicate intuitive e-markets, implement end-to-end synergies'}, {'company': 'Hardy', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Fisheries', 'start_date': '2017-04-19', 'end_date': '2021-09-01', 'location': 'Skikda', 'responsibilities': 'orchestrate seamless paradigms, envisioneer one-to-one supply-chains'}, {'company': 'Lesage Diallo SARL', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Renewable Energy', 'start_date': '2014-11-26', 'end_date': '2016-10-22', 'location': 'Mostaganem', 'responsibilities': 'transform viral methodologies, enhance impactful content'}, {'company': 'Henry SA', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Retail', 'start_date': '2010-03-04', 'end_date': '2013-07-13', 'location': 'Béjaïa', 'responsibilities': 'drive transparent interfaces, productize plug-and-play web services'}]"
عبد القدّوس,Male,1978-10-26,46,عبد القدّوس@dbmail.com,+213188855450,"4, boulevard Arthur Rodrigues
72306 Baudry",Chlef,Supply Chain Manager,Operations,Retail,Mid,24,Bac,Contract,CDD,"Presentation Skills, Report Writing, Teamwork, Negotiation, Team Leadership, Strategic Planning, Arabic/French Bilingual, Time Management, Adaptability, Communication, Project Management, Conflict Resolution","{'German': 'Intermediate', 'Spanish': 'Native', 'Arabic': 'Intermediate'}",82000,Open to offers,2025-05-02,"{'linkedin': 'linkedin.com/in/عبد القدّوس-682', 'facebook': 'facebook.com/عبد القدّوس.14'}","[{'degree': 'Bac', 'institution': 'University of Constantine', 'field_of_study': 'employé de chai', 'start_year': 1996, 'end_year': 1997, 'grade': 'Very Good'}]","[{'company': 'Bourdon Fouquet SA', 'job_title': 'Supply Chain Manager', 'department': 'Operations', 'sector': 'Retail', 'start_date': '2018-06-04', 'end_date': 'Present', 'location': 'Tlemcen', 'responsibilities': 'redefine robust experiences, harness intuitive technologies, incubate web-enabled portals'}, {'company': 'Bailly', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Aerospace & Defense', 'start_date': '2014-06-21', 'end_date': '2017-10-11', 'location': 'Tlemcen', 'responsibilities': 'streamline cross-media applications, drive web-enabled users'}, {'company': 'Pons', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Renewable Energy', 'start_date': '2009-05-04', 'end_date': '2013-04-09', 'location': 'In Salah', 'responsibilities': 'iterate user-centric experiences, visualize leading-edge systems'}, {'company': 'Marty', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Telecommunications', 'start_date': '2004-10-25', 'end_date': '2008-01-10', 'location': 'Tébessa', 'responsibilities': 'aggregate killer channels, leverage turn-key niches'}, {'company': 'Delmas S.A.', 'job_title': 'Team Leader', 'department': 'Research & Development', 'sector': 'Education', 'start_date': '2000-10-09', 'end_date': '2003-04-23', 'location': 'Naama', 'responsibilities': 'syndicate strategic web services, transform granular functionalities'}, {'company': 'Blanchard', 'job_title': 'Operations Supervisor', 'department': 'Refining & Processing', 'sector': 'Energy & Petroleum', 'start_date': '1998-11-14', 'end_date': '1999-01-13', 'location': 'El Oued', 'responsibilities': 'benchmark distributed convergence, leverage innovative e-tailers'}]"
هلالي,Male,1979-04-18,46,هلالي@tiscali.fr,+213408499494,"29, boulevard Bonnin
24120 Girard",Chlef,Department Director,General Management,Telecommunications,Mid,24,Ingénieur d'État,Freelance,Freelance,"Strategic Planning, Time Management, Microsoft Office, Presentation Skills, Negotiation, Critical Thinking, Report Writing, Team Leadership, Arabic/French Bilingual, Teamwork, Conflict Resolution, Project Management","{'French': 'Fluent', 'English': 'Intermediate', 'German': 'Fluent', 'Arabic': 'Intermediate'}",107000,Not looking,,"{'linkedin': 'linkedin.com/in/هلالي-247', 'facebook': 'facebook.com/هلالي.47', 'twitter': 'twitter.com/هلالي499'}","[{'degree': ""Ingénieur d'État"", 'institution': 'University of Bejaia', 'field_of_study': 'coffreur-boiseur', 'start_year': 1999, 'end_year': 2002, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Valette High School', 'field_study': 'Science', 'start_year': 1994, 'end_year': 1997, 'grade': 'Very Good'}]","[{'company': 'Lemonnier', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Telecommunications', 'start_date': '2011-03-04', 'end_date': 'Present', 'location': 'Skikda', 'responsibilities': 'deliver frictionless solutions, leverage synergistic mindshare, synergize out-of-the-box content'}, {'company': 'Tanguy', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Retail', 'start_date': '2008-04-01', 'end_date': '2010-08-12', 'location': 'Annaba', 'responsibilities': 'redefine magnetic vortals, productize proactive e-commerce'}, {'company': 'Legendre SARL', 'job_title': 'General Director', 'department': 'Retail Banking', 'sector': 'Banking & Finance', 'start_date': '2003-07-06', 'end_date': '2007-12-13', 'location': 'Chlef', 'responsibilities': 'optimize bricks-and-clicks interfaces, enable turn-key models'}, {'company': 'Renaud et Fils', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Media & Entertainment', 'start_date': '1998-05-02', 'end_date': '2002-06-28', 'location': 'Tébessa', 'responsibilities': 'transform sticky platforms, engineer front-end channels'}]"
