first_name,gender,birth_date,age,email,phone,address,city,current_job_title,department,sector,seniority_level,years_experience,highest_education,employment_type,contract_type,technical_skills,language_proficiency,current_salary_dzd,job_seeking_status,availability_date,social_media,education_history,work_history
جمال الدّين,Male,1993-05-23,31,جمال الدّين@ifrance.com,+213733639656,"745, chemin Victoire Diallo
17361 Salmon-sur-Bigot",Biskra,Environmental Compliance Officer,"HSE (Health, Safety, Environment)",Energy & Petroleum,Lead,9,Licence,Part-Time,CDD,"Microsoft Office, Critical Thinking, Team Leadership, Negotiation, Teamwork, Time Management, Report Writing, Arabic/French Bilingual, Adaptability","{'Tamazight': 'Fluent', 'Spanish': 'Basic', 'Arabic': 'Basic', 'German': 'Basic'}",79000,Not looking,,{},"[{'degree': 'Licence', 'institution': 'University of Constantine', 'field_of_study': 'pilote de ligne', 'start_year': 2012, 'end_year': 2015, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Dumas High School', 'field_study': 'Mathematics', 'start_year': 2009, 'end_year': 2012, 'grade': 'Average'}]","[{'company': 'Brunet', 'job_title': 'Environmental Compliance Officer', 'department': 'HSE (Health, Safety, Environment)', 'sector': 'Energy & Petroleum', 'start_date': '2021-09-26', 'end_date': 'Present', 'location': 'Biskra', 'responsibilities': 'strategize out-of-the-box portals, incentivize synergistic functionalities, facilitate out-of-the-box web-readiness'}, {'company': 'Lambert', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Mining', 'start_date': '2017-01-16', 'end_date': '2020-09-22', 'location': 'Algiers', 'responsibilities': 'revolutionize interactive networks, enhance innovative technologies'}, {'company': 'Sanchez SARL', 'job_title': 'Project Manager', 'department': 'E-Learning Platforms', 'sector': 'Education', 'start_date': '2014-10-02', 'end_date': '2016-04-26', 'location': 'Béchar', 'responsibilities': 'target cross-platform portals, redefine web-enabled supply-chains'}]"
قدري,Male,1995-03-05,30,قدري@tele2.fr,+213015675058,"46, chemin Olivier Schmitt
02882 Perrier-les-Bains",Illizi,Administrative Manager,General Management,E-Commerce,Junior,6,Master,Internship,Stage,"Adaptability, Communication, Project Management, Arabic/French Bilingual, Presentation Skills, Problem Solving, Negotiation, Strategic Planning","{'Spanish': 'Intermediate', 'German': 'Native'}",78000,Actively looking,2025-06-03,{'linkedin': 'linkedin.com/in/قدري-443'},"[{'degree': 'Master', 'institution': 'National Polytechnic School of Algiers', 'field_of_study': 'conducteur de métro', 'start_year': 2016, 'end_year': 2018, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Imbert High School', 'field_study': 'Science', 'start_year': 2010, 'end_year': 2013, 'grade': 'Average'}]","[{'company': 'Ramos', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'E-Commerce', 'start_date': '2023-05-04', 'end_date': 'Present', 'location': 'Jijel', 'responsibilities': 'deploy best-of-breed paradigms, unleash user-centric e-business, redefine integrated systems'}, {'company': 'Hamel', 'job_title': 'Operations Supervisor', 'department': 'Refining & Processing', 'sector': 'Energy & Petroleum', 'start_date': '2020-10-22', 'end_date': '2022-06-24', 'location': 'Ghardaïa', 'responsibilities': 'repurpose synergistic technologies, e-enable open-source architectures'}, {'company': 'Lopez Mahe SA', 'job_title': 'Risk Assessment Specialist', 'department': 'HSE (Health, Safety, Environment)', 'sector': 'Energy & Petroleum', 'start_date': '2017-03-23', 'end_date': '2019-01-26', 'location': 'Tindouf', 'responsibilities': 'redefine rich solutions, incubate e-business convergence'}]"
هيام,Female,1979-05-13,45,هيام@ifrance.com,+213290051910,"104, avenue Rémy
57472 Ferrand-les-Bains",Laghouat,Department Director,General Management,Media & Entertainment,Mid,23,Bac,Internship,CDD,"Problem Solving, Project Management, Presentation Skills, Report Writing, Negotiation, Strategic Planning, Arabic/French Bilingual, Microsoft Office, Communication, Conflict Resolution, Time Management, Teamwork","{'Arabic': 'Basic', 'German': 'Native', 'French': 'Fluent', 'Spanish': 'Native'}",75000,Open to offers,2025-07-11,{'linkedin': 'linkedin.com/in/هيام-934'},"[{'degree': 'Bac', 'institution': 'University of Chlef', 'field_of_study': 'commissaire-priseur', 'start_year': 1997, 'end_year': 1998, 'grade': 'Very Good'}]","[{'company': 'Lopez', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Media & Entertainment', 'start_date': '2011-02-07', 'end_date': 'Present', 'location': 'In Salah', 'responsibilities': 'evolve interactive markets, synthesize holistic ROI, envisioneer seamless models'}, {'company': 'Thibault', 'job_title': 'Supply Chain Manager', 'department': 'Operations', 'sector': 'Pharmaceuticals', 'start_date': '2007-05-04', 'end_date': '2010-08-07', 'location': 'Illizi', 'responsibilities': 'disintermediate next-generation communities, redefine efficient models'}, {'company': 'Besson SARL', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Manufacturing', 'start_date': '2005-01-27', 'end_date': '2006-07-05', 'location': 'Jijel', 'responsibilities': 'synergize sticky functionalities, leverage bricks-and-clicks methodologies'}, {'company': 'Brun', 'job_title': 'Administrative Manager', 'department': 'Agronomy Research', 'sector': 'Agriculture', 'start_date': '2002-10-04', 'end_date': '2004-05-18', 'location': ""M'sila"", 'responsibilities': 'repurpose proactive users, disintermediate impactful users'}, {'company': 'Potier', 'job_title': 'Administrative Manager', 'department': 'Vocational Training', 'sector': 'Education', 'start_date': '1998-01-22', 'end_date': '2001-06-12', 'location': 'Batna', 'responsibilities': 'evolve clicks-and-mortar niches, reinvent user-centric systems'}]"
مرزوق,Female,1979-02-11,46,مرزوق@sfr.fr,+213078981119,"68, avenue de Pruvost
01834 Bigot",Skikda,Project Manager,Higher Education,Education,Chief,24,Bac,Full-Time,Alternance,"Report Writing, Microsoft Office, Teamwork, Adaptability, Conflict Resolution, Problem Solving, Communication, Arabic/French Bilingual, Critical Thinking, Project Management, Team Leadership, Presentation Skills","{'Tamazight': 'Fluent', 'French': 'Basic', 'German': 'Basic', 'Arabic': 'Native'}",114000,Open to offers,2025-07-07,{'facebook': 'facebook.com/مرزوق.55'},"[{'degree': 'Bac', 'institution': 'University of Algiers', 'field_of_study': ""technicien d'analyses biomédicales"", 'start_year': 1996, 'end_year': 1997, 'grade': 'Good'}]","[{'company': 'Roussel Fouquet et Fils', 'job_title': 'Project Manager', 'department': 'Higher Education', 'sector': 'Education', 'start_date': '2017-01-27', 'end_date': 'Present', 'location': 'Jijel', 'responsibilities': 'optimize killer supply-chains, expedite collaborative paradigms, engage best-of-breed content'}, {'company': 'Ruiz', 'job_title': 'Operations Manager', 'department': 'Pharmaceutical Development', 'sector': 'Healthcare', 'start_date': '2013-03-14', 'end_date': '2016-12-14', 'location': 'Biskra', 'responsibilities': 'disintermediate 24/7 deliverables, strategize robust ROI'}, {'company': 'Dupuis', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Mining', 'start_date': '2010-11-10', 'end_date': '2012-08-03', 'location': 'Oran', 'responsibilities': 'disintermediate cross-media infrastructures, strategize interactive applications'}, {'company': 'Baudry', 'job_title': 'General Director', 'department': 'Clinical Operations', 'sector': 'Healthcare', 'start_date': '2007-01-10', 'end_date': '2009-11-04', 'location': 'Constantine', 'responsibilities': 'enhance bricks-and-clicks models, aggregate killer markets'}, {'company': 'Dupuy', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Mining', 'start_date': '2005-04-23', 'end_date': '2006-02-10', 'location': 'Tlemcen', 'responsibilities': 'optimize intuitive technologies, facilitate global eyeballs'}, {'company': 'Goncalves S.A.', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Manufacturing', 'start_date': '2002-08-25', 'end_date': '2004-03-17', 'location': 'Tébessa', 'responsibilities': 'embrace bleeding-edge portals, exploit killer action-items'}]"
فرج,Female,1981-09-25,43,فرج@hotmail.fr,+213817625741,"rue de De Sousa
84295 Auger-sur-Muller",Biskra,Production Supervisor,Operations,Construction,Senior,21,Bac,Internship,CDI,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Negotiation, Project Management, Time Management, Adaptability, Critical Thinking, Communication, Strategic Planning, Teamwork, Presentation Skills","{'French': 'Intermediate', 'English': 'Fluent', 'Tamazight': 'Basic'}",82000,Recently employed,,"{'linkedin': 'linkedin.com/in/فرج-139', 'facebook': 'facebook.com/فرج.81'}","[{'degree': 'Bac', 'institution': 'University of El Oued', 'field_of_study': ""animateur d'activités physiques et sportives pour tous"", 'start_year': 1999, 'end_year': 2000, 'grade': 'Very Good'}]","[{'company': 'Dumas S.A.R.L.', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Construction', 'start_date': '2018-10-28', 'end_date': 'Present', 'location': 'Jijel', 'responsibilities': 'deploy next-generation markets, synthesize clicks-and-mortar applications, evolve end-to-end technologies'}, {'company': 'Lecomte Delannoy et Fils', 'job_title': 'Administrative Manager', 'department': 'Investment Management', 'sector': 'Banking & Finance', 'start_date': '2016-09-15', 'end_date': '2017-02-24', 'location': 'Skikda', 'responsibilities': 'synergize bleeding-edge ROI, enable robust metrics'}]"
واصف,Male,1964-10-13,60,واصف@live.com,+213924698442,"763, rue Célina Maillard
67289 Legros",El Tarf,General Director,General Management,Aerospace & Defense,Lead,36,Master,Part-Time,Stage,"Time Management, Project Management, Critical Thinking, Report Writing, Problem Solving, Team Leadership, Microsoft Office, Communication, Adaptability, Conflict Resolution, Negotiation, Strategic Planning","{'Spanish': 'Basic', 'English': 'Basic'}",149000,Not looking,,{'linkedin': 'linkedin.com/in/واصف-706'},"[{'degree': 'Master', 'institution': 'University of Science and Technology Houari Boumediene', 'field_of_study': 'metteur en scène', 'start_year': 1986, 'end_year': 1988, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Normand SARL High School', 'field_study': 'Literature', 'start_year': 1980, 'end_year': 1983, 'grade': 'Excellent'}]","[{'company': 'David', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Aerospace & Defense', 'start_date': '2023-09-05', 'end_date': 'Present', 'location': 'Tizi Ouzou', 'responsibilities': 'revolutionize customized deliverables, brand virtual markets, architect sticky initiatives'}, {'company': 'Ollivier Prévost S.A.R.L.', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Manufacturing', 'start_date': '2019-12-02', 'end_date': '2022-02-27', 'location': 'Oran', 'responsibilities': 'optimize user-centric experiences, grow rich markets'}, {'company': 'Vidal', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Public Sector', 'start_date': '2014-04-27', 'end_date': '2018-10-05', 'location': 'Algiers', 'responsibilities': 'reinvent magnetic ROI, strategize robust interfaces'}, {'company': 'Cordier', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Fisheries', 'start_date': '2009-10-21', 'end_date': '2013-01-21', 'location': 'Algiers', 'responsibilities': 'engineer compelling deliverables, integrate extensible portals'}, {'company': 'Dupré', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Renewable Energy', 'start_date': '2007-10-14', 'end_date': '2008-04-07', 'location': 'Batna', 'responsibilities': 'seize frictionless deliverables, transition collaborative bandwidth'}, {'company': 'Morel S.A.R.L.', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Aerospace & Defense', 'start_date': '2004-11-27', 'end_date': '2006-11-02', 'location': 'Adrar', 'responsibilities': 'engineer ubiquitous web services, engage enterprise users'}]"
جوليا,Male,1989-10-28,35,جوليا@yahoo.fr,+213587244318,"32, boulevard de Martel
43830 BousquetBourg",Laghouat,Production Supervisor,Operations,E-Commerce,Chief,13,Licence,Freelance,Alternance,"Strategic Planning, Communication, Adaptability, Report Writing, Critical Thinking, Problem Solving, Team Leadership, Conflict Resolution, Microsoft Office, Negotiation, Time Management","{'Tamazight': 'Intermediate', 'French': 'Fluent'}",111000,Not looking,,"{'linkedin': 'linkedin.com/in/جوليا-836', 'facebook': 'facebook.com/جوليا.46'}","[{'degree': 'Licence', 'institution': 'University of Mostaganem', 'field_of_study': 'chef de projet éolien', 'start_year': 2008, 'end_year': 2011, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'Gros Brun SARL High School', 'field_study': 'Science', 'start_year': 2005, 'end_year': 2008, 'grade': 'Excellent'}]","[{'company': 'Gay Pelletier S.A.R.L.', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'E-Commerce', 'start_date': '2020-10-13', 'end_date': 'Present', 'location': 'Sétif', 'responsibilities': 'morph back-end architectures, whiteboard 24/7 synergies, whiteboard proactive mindshare'}, {'company': 'Poirier', 'job_title': 'Project Manager', 'department': 'Sustainable Farming', 'sector': 'Agriculture', 'start_date': '2016-04-01', 'end_date': '2019-08-08', 'location': 'Oran', 'responsibilities': 'aggregate B2B niches, incentivize magnetic eyeballs'}, {'company': 'Lejeune Briand S.A.', 'job_title': 'Administrative Manager', 'department': 'Food Processing', 'sector': 'Agriculture', 'start_date': '2014-01-07', 'end_date': '2015-05-12', 'location': 'Timimoun', 'responsibilities': 'generate one-to-one initiatives, brand proactive web-readiness'}, {'company': 'Guillet SA', 'job_title': 'General Director', 'department': 'International Relations', 'sector': 'Education', 'start_date': '2009-04-09', 'end_date': '2013-06-26', 'location': 'Jijel', 'responsibilities': 'empower B2B synergies, aggregate B2C content'}]"
سفير,Female,1977-01-21,48,سفير@laposte.net,+213532908043,"50, avenue de Rey
65749 Delattre",Laghouat,Quality Control Specialist,Refining & Processing,Energy & Petroleum,Junior,26,Ingénieur d'État,Part-Time,CDD,"Arabic/French Bilingual, Problem Solving, Time Management, Team Leadership, Conflict Resolution, Presentation Skills, Adaptability, Project Management, Critical Thinking, Strategic Planning, Report Writing, Microsoft Office","{'Arabic': 'Intermediate', 'German': 'Native'}",106000,Recently employed,,"{'linkedin': 'linkedin.com/in/سفير-982', 'facebook': 'facebook.com/سفير.97'}","[{'degree': ""Ingénieur d'État"", 'institution': 'University of Blida', 'field_of_study': 'responsable de production alimentaire', 'start_year': 1997, 'end_year': 2000, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'Cordier High School', 'field_study': 'Literature', 'start_year': 1992, 'end_year': 1995, 'grade': 'Excellent'}]","[{'company': 'Martin S.A.', 'job_title': 'Quality Control Specialist', 'department': 'Refining & Processing', 'sector': 'Energy & Petroleum', 'start_date': '2014-12-11', 'end_date': 'Present', 'location': 'Tindouf', 'responsibilities': 'empower user-centric info-mediaries, deploy end-to-end platforms, architect distributed ROI'}, {'company': 'Baudry', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Pharmaceuticals', 'start_date': '2010-05-26', 'end_date': '2013-08-17', 'location': 'Tamanrasset', 'responsibilities': 'harness B2C e-services, cultivate revolutionary communities'}, {'company': 'De Sousa', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Fisheries', 'start_date': '2005-01-22', 'end_date': '2009-03-25', 'location': 'Tizi Ouzou', 'responsibilities': 'engineer interactive networks, expedite cutting-edge channels'}, {'company': 'Gérard', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Media & Entertainment', 'start_date': '2001-11-28', 'end_date': '2004-09-04', 'location': 'El Oued', 'responsibilities': 'maximize value-added channels, architect dynamic infrastructures'}, {'company': 'Launay', 'job_title': 'Administrative Manager', 'department': 'E-Learning Platforms', 'sector': 'Education', 'start_date': '1997-03-14', 'end_date': '2000-04-21', 'location': 'Mostaganem', 'responsibilities': 'utilize revolutionary interfaces, strategize value-added synergies'}, {'company': 'Moreau Lebon S.A.', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Construction', 'start_date': '1994-01-18', 'end_date': '1996-11-28', 'location': 'Chlef', 'responsibilities': 'synthesize web-enabled functionalities, brand web-enabled action-items'}]"
عرفات,Male,1971-10-11,53,عرفات@club-internet.fr,+213227637009,"7, chemin de Hebert
02652 Marinboeuf",Aïn Témouchent,Production Supervisor,Operations,Renewable Energy,Chief,25,Doctorat,Internship,CDD,"Team Leadership, Problem Solving, Communication, Presentation Skills, Microsoft Office, Adaptability, Arabic/French Bilingual, Teamwork, Critical Thinking, Time Management, Strategic Planning, Conflict Resolution","{'German': 'Intermediate', 'Spanish': 'Intermediate', 'Tamazight': 'Native'}",224000,Actively looking,2025-06-30,{'twitter': 'twitter.com/عرفات319'},"[{'degree': 'Doctorat', 'institution': 'University of Djelfa', 'field_of_study': 'animateur nature nature', 'start_year': 1995, 'end_year': 2000, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Bonnin Olivier S.A.R.L. High School', 'field_study': 'Technical', 'start_year': 1987, 'end_year': 1990, 'grade': 'Good'}]","[{'company': 'Perret Hoarau S.A.S.', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Renewable Energy', 'start_date': '2008-12-08', 'end_date': 'Present', 'location': 'El Tarf', 'responsibilities': 'strategize dynamic supply-chains, visualize cutting-edge interfaces, harness vertical experiences'}, {'company': 'Gilbert', 'job_title': 'Project Manager', 'department': 'Food Processing', 'sector': 'Agriculture', 'start_date': '2003-01-12', 'end_date': '2007-08-24', 'location': 'Annaba', 'responsibilities': 'engage magnetic supply-chains, leverage 24/365 experiences'}, {'company': 'Lemoine', 'job_title': 'Production Engineer', 'department': 'Exploration & Production', 'sector': 'Energy & Petroleum', 'start_date': '2000-11-10', 'end_date': '2002-02-12', 'location': 'Laghouat', 'responsibilities': 'enhance open-source bandwidth, utilize granular users'}, {'company': 'Da Costa S.A.S.', 'job_title': 'Operations Manager', 'department': 'Hospital Administration', 'sector': 'Healthcare', 'start_date': '1997-01-15', 'end_date': '1999-11-05', 'location': 'Béjaïa', 'responsibilities': 'synthesize efficient e-tailers, strategize web-enabled portals'}]"
حمّاد,Female,1969-01-05,56,حمّاد@free.fr,+213408886563,"79, boulevard Tristan Chevalier
41353 Lefebvre",Béjaïa,Safety Inspector,"HSE (Health, Safety, Environment)",Energy & Petroleum,Lead,28,Doctorat,Full-Time,Freelance,"Time Management, Microsoft Office, Strategic Planning, Team Leadership, Communication, Conflict Resolution, Negotiation, Project Management, Teamwork, Adaptability, Arabic/French Bilingual, Presentation Skills","{'German': 'Fluent', 'French': 'Fluent'}",233000,Recently employed,,"{'linkedin': 'linkedin.com/in/حمّاد-149', 'twitter': 'twitter.com/حمّاد86'}","[{'degree': 'Doctorat', 'institution': 'University of Algiers', 'field_of_study': 'archéologue', 'start_year': 1992, 'end_year': 1997, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Moreau S.A.S. High School', 'field_study': 'Technical', 'start_year': 1984, 'end_year': 1987, 'grade': 'Average'}]","[{'company': 'Bouchet', 'job_title': 'Safety Inspector', 'department': 'HSE (Health, Safety, Environment)', 'sector': 'Energy & Petroleum', 'start_date': '2004-04-09', 'end_date': 'Present', 'location': 'Biskra', 'responsibilities': 'unleash leading-edge e-services, synthesize dot-com partnerships, iterate cross-media synergies'}, {'company': 'Marques', 'job_title': 'Production Engineer', 'department': 'Exploration & Production', 'sector': 'Energy & Petroleum', 'start_date': '2001-07-17', 'end_date': '2003-06-06', 'location': 'Oran', 'responsibilities': 're-intermediate compelling methodologies, transition mission-critical relationships'}, {'company': 'Carre', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'E-Commerce', 'start_date': '1999-09-09', 'end_date': '2000-06-05', 'location': 'Biskra', 'responsibilities': 'syndicate impactful ROI, optimize visionary models'}, {'company': 'Allard', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Manufacturing', 'start_date': '1995-11-17', 'end_date': '1998-04-07', 'location': 'Jijel', 'responsibilities': 'transform cross-media e-business, exploit magnetic networks'}, {'company': 'Potier', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Construction', 'start_date': '1993-12-28', 'end_date': '1994-06-01', 'location': 'Oran', 'responsibilities': 'expedite open-source communities, benchmark wireless web services'}]"
