first_name,last_name,gender,birth_date,age,email,phone,address,city,current_job_title,department,sector,seniority_level,years_experience,highest_education,employment_type,contract_type,technical_skills,language_proficiency,current_salary_dzd,desired_salary_dzd,job_seeking_status,availability_date,social_media,education_history,work_history
غالب,ربيعة,Female,1978-03-04,47,غالب.ربيعة@yahoo.fr,+213350358245,"26, chemin de Robin
05121 Gonzalez",Mostaganem,Operations Manager,General Management,Pharmaceuticals,Mid,25,Licence,Freelance,CDD,"Problem Solving, Project Management, Report Writing, Teamwork, Arabic/French Bilingual, Microsoft Office, Adaptability, Negotiation, Team Leadership, Strategic Planning, Time Management, Presentation Skills","{'English': 'Basic', 'Tamazight': 'Basic', 'Arabic': 'Native', 'French': 'Native'}",149000,168000,Open to offers,2025-06-03,"{'linkedin': 'linkedin.com/in/غالب-ربيعة-262', 'facebook': 'facebook.com/غالب.ربيعة.38'}","[{'degree': 'Licence', 'institution': 'University of Algiers', 'field_of_study': 'hydrogéologue', 'start_year': 1996, 'end_year': 1999, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Benoit High School', 'field_study': 'Literature', 'start_year': 1993, 'end_year': 1996, 'grade': 'Good'}]","[{'company': 'Hernandez et Fils', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Pharmaceuticals', 'start_date': '2008-06-23', 'end_date': 'Present', 'description': 'وأكثرها المضي الصين مشروط وأكثرها. الأعمال سليمان الشرقي كل بالرّد الفرنسية وبالتحديد الشطر. الإقتصادية والإتحاد ويتّفق اكتوبر تحرير بتحدّي.', 'location': 'Tiaret', 'achievements': 'صفحة وبلجيكا سقطت المتساقطة والعتاد اللازمة الأرضية. عليها أواخر شدّت الدّفاع.', 'responsibilities': 'benchmark cross-media infrastructures, embrace intuitive e-markets, empower interactive web services'}, {'company': 'قيس عيلان, ابو عيد and غوشة', 'job_title': 'General Director', 'department': 'Data Science & AI', 'sector': 'Information Technology', 'start_date': '2003-02-09', 'end_date': '2007-06-27', 'description': 'Plonger près prévoir aussitôt joindre faible. Désir gris profiter.', 'location': 'El Oued', 'achievements': 'قررت غينيا وزارة المتّبعة ليبين ولم.', 'responsibilities': 'cultivate enterprise methodologies, e-enable synergistic models'}, {'company': 'حب رمان, عاملة and بنو لام', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Pharmaceuticals', 'start_date': '1999-05-19', 'end_date': '2002-02-27', 'description': 'مقاطعة بولندا السفن مئات السفن.', 'location': 'El Tarf', 'achievements': 'Son ville comment appel.', 'responsibilities': 'grow innovative architectures, incubate sticky architectures'}, {'company': 'Da Costa', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Renewable Energy', 'start_date': '1997-07-25', 'end_date': '1998-12-17', 'description': ""Quelqu'Un prévenir brûler. Frais cercle chanter entre cruel admettre inconnu."", 'location': 'Algiers', 'achievements': 'Étrange premier trésor.', 'responsibilities': 'iterate clicks-and-mortar solutions, engage real-time e-business'}]"
معزّ,Henry,Male,1980-06-03,44,معزّ.henry@yahoo.com,+213265905528,"5413 جودة Station Apt. 345
نهدtown, VA 90295",Naama,Operations Manager,Operations,Public Sector,Chief,16,Doctorat,Full-Time,Stage,"Project Management, Team Leadership, Negotiation, Communication, Strategic Planning, Problem Solving, Presentation Skills, Microsoft Office, Conflict Resolution, Critical Thinking, Teamwork, Report Writing","{'English': 'Basic', 'German': 'Intermediate'}",326000,382000,Recently employed,,{},"[{'degree': 'Doctorat', 'institution': 'University of Oran', 'field_of_study': 'ingénieur concepteur conceptrice en mécanique', 'start_year': 2004, 'end_year': 2009, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'ترابين-الكواهلة High School', 'field_study': 'Science', 'start_year': 1996, 'end_year': 1999, 'grade': 'Excellent'}]","[{'company': 'الشايقية, تنوخ and بنو شيبان', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Public Sector', 'start_date': '2019-03-25', 'end_date': 'Present', 'description': 'Ouvrir nouveau feu hésiter vert. Plutôt valeur examiner.', 'location': 'Tizi Ouzou', 'achievements': 'والحزب بالرّغم الدولارات بلا انه الخاسرة.', 'responsibilities': 'orchestrate sticky ROI, orchestrate B2C ROI, scale efficient methodologies'}, {'company': 'ازحيمان-فهم', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Media & Entertainment', 'start_date': '2014-09-14', 'end_date': '2018-03-01', 'description': 'As être après retomber sauvage visage. Justice accepter larme casser.', 'location': 'Illizi', 'achievements': 'Construire projet sauter davantage.', 'responsibilities': 'synthesize B2C interfaces, unleash transparent e-services'}, {'company': 'Guyon Boulay S.A.', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Aerospace & Defense', 'start_date': '2011-09-17', 'end_date': '2013-05-22', 'description': 'وحلفاؤها المتساقطة واندونيسيا قررت وتنامت يذكر. الهجوم جسيمة ألمّ دنو بوقامت.', 'location': 'Timimoun', 'achievements': 'التنازلي مهمّات وبريطانيا واحدة.', 'responsibilities': 'unleash impactful e-markets, grow best-of-breed e-commerce'}, {'company': 'بني بيات, بيرقدار and طوطح', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Telecommunications', 'start_date': '2007-11-15', 'end_date': '2010-03-13', 'description': 'Papier avec dent serrer perte volonté ouvrir. Cri sens fusil ceci.', 'location': 'Biskra', 'achievements': 'Pauvre du bas force expliquer avant.', 'responsibilities': 'mesh virtual paradigms, deliver user-centric communities'}, {'company': 'Sanchez S.A.', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Public Sector', 'start_date': '2005-01-11', 'end_date': '2006-06-15', 'description': 'Heure sens bleu comme vers entraîner tombe. Sourire demain poursuivre absolu six chez enfance.', 'location': 'Adrar', 'achievements': 'تزامناً إحكام الشتوية منتصف بحث واُسدل.', 'responsibilities': 'optimize impactful portals, scale end-to-end interfaces'}]"
Thibaut,حرب,Male,1978-05-12,46,thibaut.حرب@yahoo.com,+213786777292,"4170 بوران Mountain
لاراville, ME 70008",El Oued,Department Director,Food Processing,Agriculture,Lead,18,Doctorat,Part-Time,CDI,"Team Leadership, Arabic/French Bilingual, Presentation Skills, Time Management, Problem Solving, Strategic Planning, Teamwork, Negotiation, Conflict Resolution, Communication, Project Management, Report Writing","{'Arabic': 'Intermediate', 'Spanish': 'Fluent', 'English': 'Native'}",359000,466000,Actively looking,2025-07-19,"{'linkedin': 'linkedin.com/in/thibaut-حرب-256', 'facebook': 'facebook.com/thibaut.حرب.51'}","[{'degree': 'Doctorat', 'institution': 'University of Biskra', 'field_of_study': 'خراط', 'start_year': 2002, 'end_year': 2007, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Camus High School', 'field_study': 'Literature', 'start_year': 1994, 'end_year': 1997, 'grade': 'Very Good'}]","[{'company': 'العقيدات Ltd', 'job_title': 'Department Director', 'department': 'Food Processing', 'sector': 'Agriculture', 'start_date': '2012-05-18', 'end_date': 'Present', 'description': 'حادثة وصافرات دأبوا وإقامة. تغييرات العالمية والمعدات أراض عشوائية أمدها.', 'location': 'Aïn Témouchent', 'achievements': 'ووصف مساعدة الأول ممثّلة الإقتصادي. الأولى الانجليزية بلديهما وحتى ودول الإيطالية الأثناء.', 'responsibilities': 'strategize compelling info-mediaries, embrace front-end vortals, re-intermediate compelling architectures'}, {'company': 'Fontaine', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Aerospace & Defense', 'start_date': '2007-01-23', 'end_date': '2011-07-01', 'description': 'Doigt souvent hôtel chasse semaine caractère.', 'location': 'Chlef', 'achievements': 'Près nommer repas sortir grâce porte famille demeurer.', 'responsibilities': 'whiteboard bleeding-edge e-tailers, matrix B2B models'}, {'company': 'Lebreton', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Pharmaceuticals', 'start_date': '2005-08-01', 'end_date': '2006-04-28', 'description': 'Entrer souvent ignorer grâce livre. Paupière que couleur argent.', 'location': 'Blida', 'achievements': 'واستمر الخاسرة مرجع تحرّكت بداية بزمام.', 'responsibilities': 'empower mission-critical platforms, envisioneer one-to-one metrics'}]"
رائف,الكثيري,Female,1986-03-14,39,رائف.الكثيري@club-internet.fr,+213517679164,"139 بنو النجار Stravenue
بنو حنيفةbury, TX 04893",Saïda,Administrative Manager,Medical Research,Healthcare,Senior,17,Ingénieur d'État,Contract,Alternance,"Project Management, Adaptability, Conflict Resolution, Teamwork, Arabic/French Bilingual, Team Leadership, Time Management, Report Writing, Communication, Critical Thinking, Presentation Skills, Problem Solving","{'German': 'Intermediate', 'French': 'Fluent', 'English': 'Native'}",260000,295000,Recently employed,,"{'linkedin': 'linkedin.com/in/رائف-الكثيري-314', 'facebook': 'facebook.com/رائف.الكثيري.57'}","[{'degree': ""Ingénieur d'État"", 'institution': 'University of Setif', 'field_of_study': 'administrateur judiciaire', 'start_year': 2006, 'end_year': 2009, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'المغربي, المنتفق and بعلبكي High School', 'field_study': 'Literature', 'start_year': 2001, 'end_year': 2004, 'grade': 'Excellent'}]","[{'company': 'جهينة, العسلي and الكلغاصي', 'job_title': 'Administrative Manager', 'department': 'Medical Research', 'sector': 'Healthcare', 'start_date': '2024-09-13', 'end_date': 'Present', 'description': 'Considérer cruel plante douleur doute changement voisin.', 'location': 'Tébessa', 'achievements': 'اليابانية الأمم الوزراء على وكسبت. غريمه بعشوائية ليتسنّى يعبأ بتحدّي بالجانب المتّبعة.', 'responsibilities': 'iterate turn-key architectures, disintermediate impactful communities, deploy real-time networks'}, {'company': 'هندية-الدجاني', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Construction', 'start_date': '2019-01-17', 'end_date': '2023-01-02', 'description': 'Dix réduire curiosité art situation repousser.', 'location': 'In Salah', 'achievements': 'Grand bruit regretter effort.', 'responsibilities': 'target impactful communities, target bricks-and-clicks functionalities'}, {'company': 'القضماني-طرابلسي', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'E-Commerce', 'start_date': '2015-10-03', 'end_date': '2018-06-18', 'description': 'Demi cheval nombre politique dormir parti.', 'location': 'Illizi', 'achievements': 'بلديهما مسارح بدون بحيث الأمريكي وقوعها الأولى.', 'responsibilities': 'target transparent action-items, optimize revolutionary models'}]"
Frédéric,مذحج,Female,1987-04-05,38,frédéric.مذحج@orange.fr,+213859693999,"570, avenue Guillot
30795 Parent",Oran,Department Director,General Management,Transport & Logistics,Chief,16,Ingénieur d'État,Part-Time,Alternance,"Presentation Skills, Strategic Planning, Microsoft Office, Critical Thinking, Problem Solving, Adaptability, Negotiation, Team Leadership, Arabic/French Bilingual, Teamwork, Communication, Conflict Resolution","{'Spanish': 'Intermediate', 'French': 'Intermediate', 'German': 'Basic', 'English': 'Fluent'}",242000,267000,Open to offers,2025-07-12,"{'linkedin': 'linkedin.com/in/frédéric-مذحج-405', 'facebook': 'facebook.com/frédéric.مذحج.60', 'twitter': 'twitter.com/frédéricم389'}","[{'degree': ""Ingénieur d'État"", 'institution': 'University of Skikda', 'field_of_study': 'مدير او مخرج', 'start_year': 2007, 'end_year': 2010, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'الحلاق Ltd High School', 'field_study': 'Science', 'start_year': 2002, 'end_year': 2005, 'grade': 'Good'}]","[{'company': 'Legrand', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Transport & Logistics', 'start_date': '2009-01-23', 'end_date': 'Present', 'description': 'البشريةً أعلنت بعرض بحيث الشرقي مدينة. الساحلية الإقتصادية أسيا عُقر. وتنصيب تكتيكاً بالمطالبة شموليةً الإنذار الأمريكي بالرغم.', 'location': 'Béchar', 'achievements': 'Contenir enlever mesure art lutte.', 'responsibilities': 'generate value-added content, seize bleeding-edge models, e-enable turn-key interfaces'}]"
Bernard,Dupuis,Male,1993-04-10,32,bernard.dupuis@bouygtel.fr,+213583356142,"rue Thierry Rémy
72280 Sainte Benoît",Blida,Department Director,General Management,Fisheries,Mid,8,Master,Internship,Stage,"Adaptability, Team Leadership, Communication, Arabic/French Bilingual, Microsoft Office, Problem Solving, Conflict Resolution, Critical Thinking, Teamwork","{'German': 'Intermediate', 'English': 'Native', 'French': 'Intermediate'}",137000,174000,Not looking,,"{'linkedin': 'linkedin.com/in/bernard-dupuis-173', 'facebook': 'facebook.com/bernard.dupuis.73'}","[{'degree': 'Master', 'institution': 'National Polytechnic School of Algiers', 'field_of_study': 'عالم أرصاد جوية', 'start_year': 2014, 'end_year': 2016, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'ثقيف, القباني and حمير High School', 'field_study': 'Technical', 'start_year': 2008, 'end_year': 2011, 'grade': 'Average'}]","[{'company': 'بو مدين, راجح and السيفي', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Fisheries', 'start_date': '2018-03-27', 'end_date': 'Present', 'description': 'تكبّد ساعة وبالرغم أساسي وفرنسا ب٣٠ بمما حكومة. ببحشد بتخصيص عدد الخاسرة يتبقّ هنا؟ لإعادة. طوكيو قد الأسيوي ومن مهمّات الصفحات عسكرياً شرسة.', 'location': 'Oran', 'achievements': 'Complet ne aide état bout soudain dans.', 'responsibilities': 'engage leading-edge infrastructures, incentivize revolutionary metrics, exploit back-end schemas'}, {'company': 'Fabre Roux et Fils', 'job_title': 'Project Manager', 'department': 'Investment Management', 'sector': 'Banking & Finance', 'start_date': '2016-04-19', 'end_date': '2017-01-27', 'description': 'Pendant saluer contenter aucun dur image différent.', 'location': 'Tlemcen', 'achievements': 'Fuir enfoncer amuser juger corps représenter sûr.', 'responsibilities': 'enhance cutting-edge systems, orchestrate B2C metrics'}]"
روعة,Leclercq,Male,1976-02-19,49,روعة.leclercq@hotmail.com,+213962578809,"97912 قطب Island Apt. 661
وجديville, NV 41970",Oran,Supply Chain Manager,Operations,Tourism & Hospitality,Chief,27,Ingénieur d'État,Part-Time,CDI,"Adaptability, Arabic/French Bilingual, Critical Thinking, Project Management, Microsoft Office, Time Management, Conflict Resolution, Negotiation, Strategic Planning, Problem Solving, Communication, Presentation Skills","{'English': 'Basic', 'Arabic': 'Native', 'German': 'Intermediate', 'Spanish': 'Basic'}",283000,320000,Open to offers,2025-06-05,{'linkedin': 'linkedin.com/in/روعة-leclercq-439'},"[{'degree': ""Ingénieur d'État"", 'institution': 'University of Boumerdes', 'field_of_study': 'مصور', 'start_year': 1996, 'end_year': 1999, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Rivière High School', 'field_study': 'Science', 'start_year': 1991, 'end_year': 1994, 'grade': 'Very Good'}]","[{'company': 'Hamel Brun S.A.S.', 'job_title': 'Supply Chain Manager', 'department': 'Operations', 'sector': 'Tourism & Hospitality', 'start_date': '2018-04-23', 'end_date': 'Present', 'description': 'الإكتفاء الشطر أي أراضي بالسادس ودول ونتج. اليابانية الأعمال الثانية ميناء الجوي بوابة استمرار. بداية واتّجه الفترة في كان مكثّفة تكاليف.', 'location': 'Aïn Témouchent', 'achievements': 'كانت البرية الثقيل المواد اوروبا والفلبين ليرتفع المحيط. وهولندا والكوري التغييرات أوراقهم غضون هُزم اليها.', 'responsibilities': 'disintermediate bleeding-edge infrastructures, synthesize cutting-edge eyeballs, transform B2C e-services'}, {'company': 'بنو هاشم LLC', 'job_title': 'Team Leader', 'department': 'Research & Development', 'sector': 'Education', 'start_date': '2016-01-11', 'end_date': '2017-08-28', 'description': 'Trait paraître immense promettre. Neuf rejoindre avoir pousser.', 'location': 'Tiaret', 'achievements': 'Docteur discours matière brusquement précis type.', 'responsibilities': 'harness wireless communities, transform innovative channels'}, {'company': 'خولان, خزاعة and يافع', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Tourism & Hospitality', 'start_date': '2012-08-20', 'end_date': '2015-10-07', 'description': 'الدنمارك ليبين الى تحرّك دون أراضي.', 'location': 'Oran', 'achievements': 'تنفّس النفط صفحة.', 'responsibilities': 'streamline granular web services, scale innovative info-mediaries'}, {'company': 'الحسيني-بديرية', 'job_title': 'Project Manager', 'department': 'Vocational Training', 'sector': 'Education', 'start_date': '2008-09-13', 'end_date': '2011-12-10', 'description': 'Endroit établir événement fatiguer permettre.', 'location': 'Oran', 'achievements': 'Lire casser question type.', 'responsibilities': 'seize B2C convergence, evolve e-business markets'}, {'company': 'Klein', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Pharmaceuticals', 'start_date': '2003-03-20', 'end_date': '2007-08-11', 'description': 'زهاء الثقيلة التكاليف الرئيسية.', 'location': 'Tébessa', 'achievements': 'هاربر جديداً شدّت أن وحتى لبلجيكا المتحدة.', 'responsibilities': 'synergize bleeding-edge content, monetize magnetic markets'}, {'company': 'سليم, همدان and أولاد بوعزيز', 'job_title': 'Supply Chain Manager', 'department': 'Operations', 'sector': 'Fisheries', 'start_date': '1998-06-16', 'end_date': '2002-12-15', 'description': 'الأبرياء الشمل نقطة واستمر بتخصيص بالمطالبة أساسي التكاليف.', 'location': 'Algiers', 'achievements': 'Soutenir presque seigneur forcer mari.', 'responsibilities': 'reinvent granular action-items, incubate front-end paradigms'}]"
عماد,Potier,Male,1993-05-12,31,عماد.potier@club-internet.fr,+213591763266,"194, rue Matthieu Georges
63552 Verdier",M'sila,Administrative Manager,General Management,E-Commerce,Chief,3,Doctorat,Part-Time,Alternance,"Arabic/French Bilingual, Team Leadership, Conflict Resolution, Adaptability, Strategic Planning, Presentation Skills","{'Arabic': 'Native', 'Spanish': 'Native', 'English': 'Basic', 'French': 'Native'}",236000,289000,Actively looking,2025-07-20,"{'linkedin': 'linkedin.com/in/عماد-potier-719', 'facebook': 'facebook.com/عماد.potier.81'}","[{'degree': 'Doctorat', 'institution': 'University of Skikda', 'field_of_study': 'consultant informatique', 'start_year': 2017, 'end_year': 2022, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Monnier Jacob S.A.S. High School', 'field_study': 'Mathematics', 'start_year': 2009, 'end_year': 2012, 'grade': 'Excellent'}]","[{'company': 'Dupuis SARL', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'E-Commerce', 'start_date': '2023-11-06', 'end_date': 'Present', 'description': 'Employer abri suffire poursuivre direction divers barbe sens. Loup glisser endroit comment lendemain précipiter rappeler. Attitude trace crier époque apprendre moi soumettre.', 'location': 'Tindouf', 'achievements': 'الصينية قبضتهم فبعد الإتحاد. هُزم الانجليزية الجنود شمال فهرست الذود تُصب.', 'responsibilities': 'integrate collaborative e-services, expedite vertical experiences, utilize cutting-edge e-tailers'}, {'company': 'بحمدوني-بنو النجار', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Aerospace & Defense', 'start_date': '2021-08-01', 'end_date': '2022-01-11', 'description': 'إعمار بأسر بالسيطرة والقرى.', 'location': 'Tébessa', 'achievements': 'Avouer suite changer autorité affaire rencontre.', 'responsibilities': 'embrace killer technologies, benchmark leading-edge markets'}]"
ظهير,طه,Male,1965-08-09,59,ظهير.طه@gmail.com,+213747953087,"USNS العوازم
FPO AP 36393",Illizi,Department Director,Pipeline Management,Energy & Petroleum,Senior,37,Ingénieur d'État,Full-Time,Stage,"Strategic Planning, Communication, Critical Thinking, Report Writing, Time Management, Adaptability, Microsoft Office, Negotiation, Presentation Skills, Team Leadership, Project Management, Arabic/French Bilingual","{'French': 'Native', 'English': 'Fluent'}",283000,316000,Actively looking,2025-07-06,"{'facebook': 'facebook.com/ظهير.طه.40', 'twitter': 'twitter.com/ظهيرط498'}","[{'degree': ""Ingénieur d'État"", 'institution': 'University of Science and Technology Houari Boumediene', 'field_of_study': 'صائغ', 'start_year': 1986, 'end_year': 1989, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'عرموني-المتولي High School', 'field_study': 'Science', 'start_year': 1981, 'end_year': 1984, 'grade': 'Average'}]","[{'company': 'Moreno', 'job_title': 'Department Director', 'department': 'Pipeline Management', 'sector': 'Energy & Petroleum', 'start_date': '1995-08-04', 'end_date': 'Present', 'description': 'Précipiter portier venir construire. Creuser arracher compagnie après escalier effet. Énergie marchand claire tâche.', 'location': 'Tlemcen', 'achievements': 'عليها سنغافورة التقليدي.', 'responsibilities': 'monetize cross-media architectures, engage seamless supply-chains, disintermediate plug-and-play relationships'}, {'company': 'Lacroix', 'job_title': 'Project Manager', 'department': 'FinTech Innovation', 'sector': 'Banking & Finance', 'start_date': '1990-10-06', 'end_date': '1994-02-15', 'description': 'إحتار بمما على القادة باستخدام. الخاسر وبغطاء بأيدي الأخذ جيوب الأوروبيّون بتخصيص.', 'location': 'Annaba', 'achievements': 'Noir surprendre parent fumée ou prétendre.', 'responsibilities': 'synthesize dynamic technologies, generate magnetic metrics'}, {'company': 'شويفاتي Group', 'job_title': 'Department Director', 'department': 'Research & Development', 'sector': 'Education', 'start_date': '1988-04-10', 'end_date': '1989-09-08', 'description': 'Poète nombreux cheveu. Politique neuf bientôt avoir endroit remarquer.', 'location': 'Djanet', 'achievements': 'شمال هذه السبب محاولات الخاطفة.', 'responsibilities': 'enhance leading-edge models, matrix real-time e-services'}, {'company': 'السروري-بنو هاشم', 'job_title': 'Supply Chain Manager', 'department': 'Operations', 'sector': 'Public Sector', 'start_date': '1985-03-02', 'end_date': '1987-08-25', 'description': 'هذه على بسبب الشطر الآخر والحزب وحلفاؤها.', 'location': 'Béchar', 'achievements': 'وبريطانيا معزّزة لعملة الشتوية وحلفاؤها به لهذه.', 'responsibilities': 'leverage bricks-and-clicks synergies, seize B2C content'}]"
عبد القادر,Dumont,Female,1996-09-27,28,عبد القادر.dumont@hotmail.com,+213122384099,"85227 العجمان Bypass Apt. 574
New نجدتborough, SC 70442",Sétif,Operations Manager,Operations,Public Sector,Junior,6,Licence,Contract,CDD,"Report Writing, Negotiation, Teamwork, Critical Thinking, Conflict Resolution, Project Management, Microsoft Office, Team Leadership","{'Tamazight': 'Fluent', 'French': 'Basic', 'Arabic': 'Native', 'English': 'Basic'}",97000,108000,Not looking,,"{'linkedin': 'linkedin.com/in/عبد القادر-dumont-214', 'facebook': 'facebook.com/عبد القادر.dumont.22'}","[{'degree': 'Licence', 'institution': 'University of Biskra', 'field_of_study': 'ingénieur analogicien analogicienne', 'start_year': 2015, 'end_year': 2018, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'صيام, بتروني and عسير High School', 'field_study': 'Technical', 'start_year': 2012, 'end_year': 2015, 'grade': 'Good'}]","[{'company': 'Delaunay Allard S.A.S.', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Public Sector', 'start_date': '2023-12-25', 'end_date': 'Present', 'description': 'Faux rouler tendre également ferme fortune ciel dehors. Éclairer craindre bon jour vers.', 'location': 'Tiaret', 'achievements': 'Prêt vaste eaux envie désigner puis. Résistance aider printemps bon an instant.', 'responsibilities': 'implement seamless experiences, leverage B2C networks, architect robust initiatives'}, {'company': 'Boulay S.A.', 'job_title': 'Team Leader', 'department': 'Refining & Processing', 'sector': 'Energy & Petroleum', 'start_date': '2021-12-23', 'end_date': '2022-05-12', 'description': 'اتفاق وحتّى قام ليرتفع الأثناء تحت واُسدل. النزاع تحرّكت والروسية الأمريكية الأخذ.', 'location': 'Aïn Témouchent', 'achievements': 'Chasser médecin ventre commander.', 'responsibilities': 'mesh real-time mindshare, enhance cutting-edge mindshare'}, {'company': 'الحسيني, غوشة and شمران', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'Pharmaceuticals', 'start_date': '2019-09-09', 'end_date': '2020-03-27', 'description': 'بولم الأوروبية بحشد عالمية الخطّة بالولايات العناد. إجلاء واقتصار تكاليف.', 'location': 'Oran', 'achievements': 'الكونجرس ضرب منتصف المنتصر ولاتّساع بعرض.', 'responsibilities': 'strategize interactive e-business, monetize transparent web services'}]"
